id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,IL_Aurora South_1,2014,MD,6g,5.8,1584,0.97,0.99,0.97,0.97,0.99,0.28,0.05,0.24,0.22,0.04
2,IL,IL_Caledonia_1,2014,MD,6g,-23.3,3557,0.98,0.98,0.96,0.91,0.97,0.22,0.22,0.34,0.77,0.27
3,IL,IL_Freeport East_1,2014,MD,6g,13.6,3785,0.94,0.86,0.92,0.90,0.95,2.63,6.77,4.03,4.72,2.32
4,IL,IL_Geneva_1,2014,MD,6g,-18.1,8091,0.94,0.96,0.94,0.81,0.90,0.25,0.14,0.22,0.74,0.40
5,IL,IL_Joliet_1,2014,MD,15g,13.4,260,1,1,0.99,,0.99,0,0.07,0.18,,0.14
6,IL,IL_La Salle_1,2014,MD,6g,76,2062,-0.35,0.87,0.76,0.87,1,24.24,2.39,4.35,2.26,
7,IL,IL_Romeoville_1,2014,MD,15g,-4.4,5338,0.88,0.96,0.91,0.75,0.75,1.45,0.47,1.09,3.04,3.04
8,IL,IL_West Chicago_1,2014,MD,6g,-22.7,5443,0.98,0.98,0.92,0.78,,0.08,0.08,0.31,0.83,
9,IL,IL_West Chicago_3,2014,MD,15g,-15.2,3683,0.94,0.99,0.98,0.70,0.90,0.32,0.04,0.13,1.58,0.52
10,IN,IN_Arcola_1,2014,MD,6g,-1.7,12418,0.97,0.97,0.46,0.78,0.70,0.01,0.01,0.17,0.07,0.10
11,IN,IN_Lafayette West_1,2014,MD,30g,124.3,756,0.47,-0.74,-4.43,-0.40,0.99,16.96,45.07,6.75,4,0.08
12,IN,IN_Lafayette West_2,2014,Btk-MD,25BIUx2,124.9,29,0.58,-0.33,-6.95,0.43,1,31.20,80.89,23.12,3.90,0
13,IN,IN_Lorane_1,2014,Btk,25BIUx2,-5.3,34,-0.77,0.62,0.98,,,22.04,4.69,0.21,,
14,IN,IN_Valpo_1,2014,Btk,25BIUx2,5.8,1023,0.54,0.89,0.99,0.97,0.98,6.53,1.49,0.19,0.36,0.22
15,IN,IN_Valpo_2,2014,Btk,25BIUx2,8.1,94,-5.51,0.79,0.13,0.99,0.73,34.48,1.12,4.61,0.07,1.42
16,IN,IN_Westville_15,2014,MD,15g,-3.4,985,0.98,0.97,0.51,0.70,0.07,0.04,0.05,0.84,0.51,1.60
17,IN,IN_Westville_6,2014,MD,6g,-1.3,2209,0.85,0.22,0.47,0.10,-0.52,0.29,1.46,0.98,1.67,2.82
18,MN,MN_Duluth_2,2014,MD,15g,28.5,11743,0.72,0.78,0.62,0.71,-0.18,0.55,0.54,0.75,0.57,2.31
19,MN,MN_Duluth_3,2014,MD,6g,36.6,40748,0.93,0.88,0.87,0.82,0.86,0.11,0.20,0.22,0.30,0.24
20,MN,MN_Ely_1,2014,MD,6g,68,1879,0.98,1,1,1,1,0.04,0,0,0,0
21,MN,MN_West Duluth_1,2014,Btk-MD,24BIUx2,38.4,1197,1,1,0.92,0.85,0.99,0,0,0.13,0.25,0.01
22,NC,NC_Ayersville_1,2014,MD,6g,27.8,174,1,0.99,0.99,1,1,0.20,0.51,0.70,0.29,0
23,NC,NC_Bracey_1,2014,MD,6g,25,1804,1,0.99,0.98,0.74,1,0.08,0.11,0.29,6.53,0
24,NC,NC_Northwest Eden_1,2014,MD,6g,18.3,517,0.98,0.77,0.91,0.87,-1.10,0.23,2.36,0.92,1.30,63.26
25,OH,Canal_Fulton_Dim,2014,Dim,1oz,-89.8,50,,,,,,,,,,
26,OH,Damasco_A_NPV2,2014,NPV,5x10^12,-29.3,30,,,,,,,,,,
27,OH,Damasco_B_NPV2,2014,NPV,5x10^12,-29,100,,,,,,,,,,
28,OH,Damasco_C_NPV2,2014,NPV,5x10^12,-28.9,2,,,,,,,,,,
29,OH,Nimisilla_Park_Dim,2014,Dim,1oz,-89.8,53,,,,,,,,,,
30,OH,OH_Alger_MD,2014,MD,6g,75.2,5097,0.87,1,0.92,0.98,0.34,0.23,0,0.15,0.03,1.19
31,OH,OH_Carey_MD,2014,MD,6g,33.2,650,0.89,1,0.98,0.46,0.56,0.43,0,0.08,2.08,1.68
32,OH,OH_Corning_BTK,2014,Btk-MD,24BIUx1,59.7,692,0.94,0.98,0.73,0.91,0.96,0.59,0.17,2.46,0.86,0.35
