id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IA,Dubuque,2013,MD,6g,47,12608,1,1,0.98,0.88,0.86,0,0.13,0.25,1.36,1.64
2,IA,New Albin,2013,MD,6g,33.7,10828,0.96,0.98,0.98,0.98,0.92,0.37,0.27,0.21,0.21,0.70
3,IL,Fermi MD,2013,MD,15g,-6.4,5079,0.95,0.95,0.99,0.92,0.97,0.42,0.46,0.13,0.71,0.27
4,IL,Galena,2013,MD,6g,42,8872,1,0.92,0.99,0.94,0.83,0,68.52,0.07,0.43,1.29
5,IL,Joliet,2013,MD,6g,3.1,8193,0.93,0.88,0.92,0.86,0.90,0.65,1.08,0.67,1.21,0.87
6,IL,Montgomery BTK,2013,Btk,24BIUx2,6.2,13,0.74,1,1,1,1,6.86,0.04,0,0.07,0.13
7,IL,Naperville,2013,MD,6g,-7.7,33023,0.97,0.98,0.92,0.94,0.83,0.18,0.09,0.45,0.33,0.92
8,IL,Oswego,2013,Btk,24BIUx2,10.4,1003,0.99,1,0.99,0.91,0.99,0.55,0.03,0.80,9.81,0.71
9,IL,Shirland,2013,MD,6g,-19.2,6117,0.99,0.99,0.92,0.83,0.83,0.02,0.05,0.31,0.65,0.65
10,MN,Eagles Nest,2013,MD,15g,71.3,564,1,1,1,1,0.98,0.03,0,,0,2.65
11,MN,French River,2013,MD,6g,21.1,4817,0.97,0.99,1,0.96,0.93,0.25,0.08,0,0.36,0.60
12,MN,Shell Lake,2013,MD,15g,95.3,5615,1,1,1,1,1,0.01,,,,
13,MN,Whiteface,2013,MD,6g,52.8,50690,0.97,0.99,1,0.95,0.98,0.11,0.11,0,0.50,0.08
14,NC,Carova,2013,MD,15g,69,514,0.57,0.97,0.77,0.32,-1.90,1.29,0.08,0.69,2.04,8.70
15,NC,Inez,2013,Btk,24BIUx2,54.6,913,1,1,1,0.95,0.98,0,0,0.18,3.88,1.85
16,NC,Ringgold,2013,MD,15g,18.2,2036,0.99,0.95,0.57,0.99,0.96,0.31,1.62,14.95,0.47,1.23
17,NC,Ruffin,2013,MD,15g,26.9,422,0.98,1,0.74,1,1,4.41,0,62.65,0.94,0.83
18,NC,Satterwhite Btk,2013,Btk,24BIUx2,21.3,598,0.99,0.99,1,1,1,0.37,0.52,0.10,0.10,0
19,OH,Athens MD,2013,MD,15g,69.3,571,1,1,0.98,0.87,0.38,0,0,0.34,2.19,18.06
20,OH,Bluffton MD,2013,MD,6g,37.8,26519,0.96,0.99,0.91,0.91,0.67,0.19,0.06,0.50,0.46,1.78
21,OH,Catawba BTK,2013,Btk-MD,24BIUx1,97.4,17,1,1,1,1,1,0,0,,1.09,1.05
22,OH,Catawba MD,2013,MD,6g,97.3,608,1,1,1,0.99,0.99,0.09,0,,1.01,0.96
23,OH,Defiance East BTK,2013,Btk,24BIUx2,2.1,51,0.99,0.97,0.97,0.97,0.97,0.30,0.72,0.67,0.61,0.65
24,OH,Delaware MD,2013,MD,15g,46,2081,0.85,0.96,0.81,0.84,0.94,0.75,0.19,0.99,0.80,0.29
25,OH,East Liberty Honda MD,2013,MD,15g,77.4,93,0.99,1,0.98,1,1,0.55,0,0.81,0,0
26,OH,Hallsville MD,2013,MD,6g,97,256,0.91,0.97,0.85,1,1,2.69,0.72,4.04,0,0
27,OH,Kingston BTK,2013,Btk-MD,24BIUx1,102.7,226,1,0.99,0.84,0.99,0.15,2.08,6.33,87.89,20.97,35068.85
28,OH,Kingston MD,2013,MD,6g,102.3,4397,0.98,0.96,0.82,0.96,0.52,3.61,6.15,24.38,15.49,5004.53
29,OH,Lake of the Woods BTK,2013,Btk,24BIUx2,35.1,57,0.28,0.35,0.37,-0.85,0.18,1.15,1.04,1.02,2.98,1.32
30,OH,Larue MD,2013,MD,15g,53.8,3640,0.99,0.99,0.92,0.95,1,0.08,0.08,0.76,0.46,0
31,OH,Laurelville MD,2013,MD,6g,90.1,9455,0.97,1,0.95,0.66,1,0.18,0.01,0.30,2.11,28.34
32,OH,Londonderry MD,2013,MD,6g,102.6,239,0.50,-2.05,0.95,0.95,1,16.43,84.42,1.40,3.19,0
33,OH,Marion West Mimic,2013,Dim,1oz,34.5,70,0.16,-1.41,0.65,1,0.20,0.99,2.84,0.41,0,0.94
34,OH,Marysville MD,2013,MD,15g,70.3,249,0.99,1,-0.16,0.99,1,1.52,0,134.74,1.35,
35,OH,McComb MD,2013,MD,6g,26.3,7541,0.87,0.13,-0.25,0.67,0.86,0.34,2.34,3.38,0.89,0.38
36,OH,Meeker BTK,2013,Btk-MD,24BIUx1,47.1,10,,,,,,,,,,
37,OH,Meeker MD,2013,MD,6g,45.2,17765,0.97,0.96,0.89,0.92,0.89,0.23,0.30,0.88,0.64,0.82
38,OH,Mount Victory A MD,2013,MD,6g,71.3,419,0.96,1,0.99,0.95,0.54,0.12,0,0.05,0.15,1.48
39,OH,Mount Victory B MD,2013,MD,6g,75.5,664,0.94,1,1,0.99,0.91,0.41,0,0,0.10,0.60
40,OH,Mount Victory C MD,2013,MD,15g,69.2,2585,0.97,0.66,0.90,0.99,0.80,0.41,4.48,1.36,0.07,2.60
41,OH,Mount Victory D MD,2013,MD,6g,65,215,0.53,0.63,-0.27,0.97,0.97,1.66,1.31,4.53,0.11,0.09
42,OH,Mulga MD,2013,MD,6g,98.5,819,0.99,0.99,0.90,1,1,0.06,0.07,0.68,0,0
