id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IA,IA_Bellevue_1,2018,Btk,24BIUx2,0,0,0.74,1,,,,1.29,0,,,
2,IL,IL_Jo Daviess_1_MD,2018,MD,6g,0,0,1,0.92,,,,0,1.10,,,
3,IL,IL_Kendall_1_Btk,2018,Btk,24BIUx2,0,0,0.94,1,,,,1.19,0,,,
4,IL,IL_LaSalle_1_MD,2018,MD,15g,0,0,1,1,,,,,0,,,
5,IL,IL_LaSalle_2_Btk,2018,Btk,24BIUx2,0,0,1,1,,,,,0,,,
6,IL,IL_LaSalle_3_MD,2018,MD,6g,0,0,1,0.95,,,,,20.70,,,
7,IL,IL_LaSalle_4_MD,2018,MD,6g,0,0,1,1,,,,,0,,,
8,IL,IL_LaSalle_5_MD,2018,MD,6g,0,0,1,1,,,,0,0,,,
9,IL,IL_Ogle_1_MD,2018,MD,6g,0,0,0.99,1,,,,0.07,0.02,,,
10,IL,IL_Ogle_2_Btk,2018,Btk,24BIUx2,0,0,0.80,0.99,,,,3.63,0.14,,,
11,IL,IL_Ogle_3_MD,2018,MD,6g,0,0,0.63,0.97,,,,2.33,0.22,,,
12,IL,IL_Peoria_Marshall_1_MD,2018,MD,6g,0,0,1,1,,,,0.01,,,,
13,IL,IL_Putnam_1_MD,2018,MD,6g,0,0,1,1,,,,0,,,,
14,IL,IL_Will_1_Btk,2018,Btk,24BIUx2,0,0,0.06,0.98,,,,14.14,0.34,,,
15,IN,Argos MD 2018,2018,MD,15g,0,0,0.97,0.79,,,,0.34,2.48,,,
16,IN,Green TWP MD 2018,2018,MD,15g,0,0,0.90,0.62,,,,0.53,1.90,,,
17,IN,Plymouth MD 2018,2018,MD,6g,0,0,0.89,0.92,,,,0.60,0.41,,,
18,IN,Tiosa Btk 2018,2018,Btk,25BIUx2,0,0,0.75,0.98,,,,6.59,0.54,,,
19,MN,MN_Cloquet_01,2018,Btk,24BIUx2,0,0,0.85,0.56,,,,0.32,0.97,,,
20,MN,MN_Cloquet_STS_02,2018,Btk,24BIUx2,0,0,0.67,0.77,,,,0.54,0.38,,,
21,MN,MN_Lakeside_Duluth_01,2018,Btk,24BIUx2,0,0,0.72,0.98,,,,2.41,0.17,,,
22,MN,MN_Lowry_Hill_Minneapolis_01,2018,Btk,24BIUx2,0,0,0.99,1,,,,2.62,0.79,,,
23,MN,MN_Lowry_Hill_Minneapolis_02,2018,Btk,24BIUx1,0,0,1,1,,,,0.66,0.25,,,
24,MN,MN_Split Rock_Beaver Bay_1,2018,MD,6g,0,0,1,0.95,,,,0.02,0.26,,,
25,MN,MN_Two Harbors_1,2018,Btk,24BIUx2,0,0,1,-2.43,,,,0,2.65,,,
26,MN,MN_White_Iron_Lake_Lake_County_01,2018,Btk,24BIUx2,0,0,1,1,,,,0,,,,
27,NC,Baldwin Gap_1,2018,MD,6g,0,0,0.99,0.92,,,,0.33,1.38,,,
28,NC,Belews Lake_1,2018,MD,6g,0,0,0.98,0.89,,,,0.08,0.45,,,
29,NC,Buxton_1,2018,MD,15g,0,0,1,0.54,,,,0,15.43,,,
30,NC,Cana_1,2018,MD,6g,0,0,0.92,0.82,,,,0.23,0.54,,,
31,NC,Hanging Rock_1,2018,MD,6g,0,0,0.87,0.88,,,,0.83,0.77,,,
32,NC,Mayodan_1,2018,MD,6g,0,0,1,0.88,,,,0,0.20,,,
33,NC,Mount Airy North_1,2018,MD,6g,0,0,0.41,0.25,,,,1.29,1.64,,,
34,NC,Mount Airy South_1,2018,MD,6g,0,0,0.97,0.89,,,,0.06,0.23,,,
35,NC,Roxboro_1,2018,MD,15g,0,0,0.98,1,,,,0.58,0,,,
36,NC,Southwest Eden_1,2018,MD,6g,0,0,1,0.79,,,,0,1.34,,,
37,NC,Stovall_1,2018,MD,6g,0,0,1,0.94,,,,0,0.19,,,
