id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
1,IL,IL_Aurora Oakhurst,2015,Btk,24BIUx2,1.4,1614,0.97,0.92,1,0.95,,1.16,2.87,0,1.92,
2,IL,IL_Timberlake,2015,Btk,24BIUx2,-9.7,941,1,1,0.97,,,0.12,0.08,0.68,,
3,IL,IL_Warrenville,2015,MD,6g,-9.9,777,0.96,1,0.89,0.90,,0.23,0.03,0.70,0.63,
4,IL,IL_Wasco,2015,MD,6g,-10.4,5112,0.95,0.92,0.91,0.93,,0.22,0.36,0.41,0.32,
5,IN,Chesterton 1,2015,MD,6g,-7.6,718,0.95,0.82,0.81,0.75,,0.39,1.55,1.61,2.16,
6,IN,Gary 1,2015,Btk,25BIUx2,5,208,0.95,0.99,0.92,0.79,,0.27,0.03,0.48,1.23,
7,IN,Gary 2,2015,Btk,25BIUx2,3.5,184,1,0.99,0.96,0.85,,0,0.08,0.32,1.29,
8,IN,Palmer 1,2015,Btk,25BIUx2,8,89,1,1,1,0.99,,0.06,0.18,0.91,1.03,
9,IN,Palmer 2,2015,Btk,25BIUx2,9.3,48,0.96,0.98,0.99,0.97,,1.35,0.51,0.49,1.12,
10,IN,Portage 1,2015,MD,6g,-6.2,2652,0.63,0.92,-0.01,0.09,,2.54,0.55,6.99,6.28,
11,IN,Potato Creek 1,2015,Btk-MD,25BIUx1,-9.5,1147,1,0.96,0.70,0.75,,0,0.25,1.79,1.47,
12,IN,Potato Creek 2,2015,MD,6g,-7.9,8806,0.97,0.94,0.69,0.52,,0.06,0.13,0.65,1,
13,IN,Valparaiso 12,2015,MD,6g,6.9,1799,0.91,0.98,0.99,0.98,,2.06,0.43,0.33,0.37,
14,MN,MN_Cedar_1,2015,Btk,24BIUx2,151.1,513,1,0.97,1,1,,,1.19,0,0,
15,NC,NC_Cluster Springs_1,2015,MD,15g,8.3,7173,0.96,0.98,1,1,,0.48,0.24,0.01,0,
16,NC,NC_Cluster Springs_2,2015,MD,6g,11.2,6867,0.91,0.91,0.18,0.88,,0.27,0.28,2.59,0.39,
17,NC,NC_Hurdle Mills_1,2015,MD,6g,25.5,5116,1,0.94,1,0.99,,0.01,0.26,0,0.05,
18,NC,NC_Pilot Mountain_1,2015,MD,15g,21.4,762,0.99,1,1,0.97,,1.25,0.16,0.28,7.63,
19,OH,OH_Amanda MD,2015,MD,6g,63.3,5585,0.59,0.17,0.95,0.99,,3.24,4.92,0.31,0.07,
20,OH,OH_Beaverdam MD,2015,MD,6g,57,163,0.61,1,-0.61,0.71,,1.39,0,5.56,1.01,
21,OH,OH_Brown BTK2,2015,Btk,24BIUx2,-119.5,70,,,,,,,,,,
22,OH,OH_Caledonia MD,2015,MD,6g,19.1,4325,1,0.88,-0.24,0.73,,0.01,0.72,7.24,1.58,
23,OH,OH_Celina MD,2015,MD,6g,67.3,457,1,0.96,1,0.99,,0,0.67,0.05,0.15,
24,OH,OH_Clearport MD,2015,MD,6g,74.5,4651,0.92,0.98,0.88,0.94,,1.59,0.38,2.33,1.22,
25,OH,OH_Continental MD,2015,MD,6g,24.1,26716,0.98,0.85,-0.39,0.53,,0.03,0.28,2.53,0.86,
26,OH,OH_Cridersville MD,2015,MD,6g,72.6,177,0.81,1,0.73,0.98,,2.06,0,2.74,0.18,
27,OH,OH_Damasco-Big Sandy NPV2,2015,NPV,5x10^11,-29.1,132,,,,,,,,,,
28,OH,OH_Findlay MD,2015,MD,6g,31.7,331,1,1,0.79,0.91,,0.01,0,0.52,0.21,
29,OH,OH_Goshen MD,2015,MD,15g,194.5,911,1,1,1,1,,0,,,,
30,OH,OH_Goshen Mimic-MD,2015,Dim,1oz,194.1,107,1,1,1,1,,0,,,,
31,OH,OH_Hamden MD,2015,MD,6g,110.8,2079,0.98,1,1,1,,0.48,0,0,0,
32,OH,OH_Harrod MD,2015,MD,6g,66.4,3678,0.92,0.99,0.83,0.86,,0.21,0.01,0.43,0.36,
33,OH,OH_Ilesboro MD ,2015,MD,6g,84.2,408,0.96,1,0.90,0.77,,0.88,0,2.29,5.20,
34,OH,OH_Lehman BTK2,2015,Btk,24BIUx2,-0.4,50,,,,,,,,,,
35,OH,OH_Logan South MD,2015,MD,6g,74.8,1724,0.66,1,1,0.93,,3.94,0.02,0,0.84,
36,OH,OH_Londonderry BTK2,2015,Btk,24BIUx2,102.7,772,1,0.99,1,1,,0.63,1.46,0,2.43,
37,OH,OH_Marion East MD,2015,MD,6g,30.9,9659,0.79,0.61,-1.13,-8.81,,1.49,2.84,15.44,71,
38,OH,OH_Marion North MD,2015,MD,15g,31.7,1342,0.95,0.96,0.55,0.86,,0.67,0.55,6.13,1.90,
39,OH,OH_Marion Southeast BTK2,2015,Btk,24BIUx2,28.1,399,-4.82,0.76,0.88,0.96,,192.86,7.91,4.11,1.39,
40,OH,OH_McArthur A MD,2015,MD,6g,104.8,298,0.99,1,1,1,,0.15,0,0,0,
41,OH,OH_McArthur B MD,2015,MD,6g,97.3,3885,0.98,0.92,0.78,-0.53,,0.21,2.73,2.80,19.07,
42,OH,OH_McComb BTK2,2015,Btk,24BIUx2,27.1,145,0.24,1,0.98,1,,24.02,0.05,0.48,0.04,
43,OH,OH_Nelsonville NPV2-MD,2015,NPV-MD,5x10^11,66.4,117,0.99,0.95,0.99,1,,0.23,1.25,0.19,0,
44,OH,OH_Nevada MD,2015,MD,6g,27.3,755,0.97,1,0.98,0.97,,0.12,0,0.09,0.13,
45,OH,OH_New Bloomington MD,2015,MD,6g,50.9,354,0.96,0.99,1,1,,1.25,0.25,0,0.01,
46,OH,OH_New Plymouth BTK1-MD,2015,Btk-MD,24BIUx1,87.5,109,1,0.89,0.99,0.95,,0.03,17.91,0.18,1.51,
47,OH,OH_Nimisilla Park BTK2,2015,Btk,24BIUx2,-89.8,53,,,,,,,,,,
48,OH,OH_Northeast Columbus BTK2-MD,2015,Btk-MD,24BIUx2,37.8,455,1,1,1,1,,0.07,0.05,0.09,0.35,
49,OH,OH_Northeast Columbus MD,2015,MD,6g,36.9,10019,1,0.99,0.99,0.99,,0.18,0.32,0.56,0.51,
50,OH,OH_Oak Openings NPV2,2015,NPV,5x10^11,-28.8,498,,,,,,,,,,
51,OH,OH_Ottawa MD,2015,MD,6g,30.5,3222,-1.80,1,-0.01,-0.05,,13.13,0.01,2.67,2.76,
52,OH,OH_South Bloomingville MD,2015,MD,6g,91.2,871,0.99,1,1,1,,0.05,0,0,0,
53,OH,OH_Spencerville North MD,2015,MD,6g,55.7,934,1,0.74,1,1,,0,5.22,0,0.02,
54,OH,OH_Stoutsville BTK2,2015,Btk,24BIUx2,80.7,21,1,1,1,1,,0,0,0,0,
55,OH,OH_Union Furnace A1 NPV2-MD,2015,NPV-MD,5x10^11,79.5,415,1,1,1,0.98,,0.11,0,0,1,
56,OH,OH_Union Furnace A2 NPV2-MD,2015,NPV-MD,5x10^11,79.7,411,1,1,1,0.99,,0.14,0,0,0.48,
57,OH,OH_Union Furnace B1 NPV2-MD,2015,NPV-MD,5x10^11,83.8,169,0.99,1,0.99,0.99,,0.13,0,0.19,0.37,
58,OH,OH_Union Furnace B2 NPV2-MD,2015,NPV-MD,5x10^11,84.2,233,0.99,1,1,0.99,,0.18,0,0.13,0.22,
59,OH,OH_Union Furnace MD,2015,MD,6g,77.4,112357,0.95,0.94,0.79,0.91,,0.54,0.63,2.31,1.01,
60,OH,OH_Uniopolis MD,2015,MD,6g,77.8,344,1,0.96,0.86,1,,0,0.21,0.81,0,
61,OH,OH_Van Wert NW BTK2,2015,Btk,24BIUx2,29.1,95,-9.90,1,0.96,0.94,,483.77,0.07,0.97,1.49,
62,VA,Study Plot 1,2015,MD,6g,-157.1,125,,,,,,,,,,
63,VA,Study Plot 2,2015,MD,6g,-156.4,124,,,,,,,,,,
64,VA,Study Plot 3,2015,MD,6g,-152.1,124,,,,,,,,,,
65,VA,Study Plot 4,2015,MD,6g,-150.2,124,,,,,,,,,,
66,VA,Study Plot 6,2015,MD,6g,-155.2,124,,,,,,,,,,
67,VA,Study Plot 7,2015,MD,6g,-135.7,124,,,,,,,,,,
68,VA,Study Plot 8,2015,MD,6g,-148,125,,,,,,,,,,
69,VA,Study Plot 9,2015,MD,6g,-133.4,124,,,,,,,,,,
70,VA,VA_Amonate_1,2015,MD,6g,12.1,19192,0.95,0.97,0.93,0.65,,0.23,0.13,0.29,1.51,
